Disclosure: Status 			Disclosure: What			Disclosure: Who							Disclosure: Where and When							Disclosure: Additional Info									
Publication Stage	Manuscript Pipeline	IP/Legal	Origin (internal vs. external)	Title/Topic/Link	Publication Type	Tempus Lead(s)	SciComm Lead / Point Person	Tempus Authors	PI / Corresponding Author	External Collaborator (PI and Institution)	Exec. Sponsor / Department Head	Key BU Stakeholder Publication Supports	Journal / Conference	Date of Target Submission (Yr, Quarter, Date)	Date Actual Submission Occurred (Yr, Quarter, Date)	Date of Most Recent Resubmission (Yr, Quarter)	Date of Publication (Date)	Year Quarter of Publication	Year Quarter of Publication	Cancer Type	CLQ data usage	Utilized LENS	IRB	IRB Protocol No.	DOI	PMID	Published Info Uploaded to Website	Notes	
Stage 7: Published	External Research: Grant Program	Unknown	Collaborator led (Tempus authorship)	Tumor Neoantigen Burden and Immune Environment in Driver-Alteration Positive Lung Adenocarcinoma.	abstract	Anna Schwarzbach	Namratha Sastry	Aly Khan, Benjamin Leibowitz	Janakiraman Subramanian	Janakiraman Subramanian - St. Luke's MO	Ania Schwarzbach	Clinical Commercial	WCLC 2020	2020 Q3	2020 Q3		1/28/21	2021 Q1	2021 Q1	Lung cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Accepted for poster presentation. Follow up article based on the abstract: https://bionexuskc.org/saint-lukes-director-says-the-answer-to-the-immune-systems-role-in-fighting-cancer-is-hidden-in-plain-sight/	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	RNA Sequencing of the Tumor Microenvironment in Precision Cancer Immunotherapy	manuscript	 Aly Khan			Aly Khan	N/A	Kevin White	Clinical/Pharma Commercial	Trends in Cancer		2018 Q4 12/13/18	2/11/19	3/7/19	2019 Q3	2019 Q1	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.trecan.2019.02.006	30898262	Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Genomic Fusions in Pigmented Spindle Cell Nevus of the Reed	manuscript	TJ Taxter, Kevin White, Catherine Igartua, Nike Beaubier			Pedram Gerami	Gerami - Northwestern	Kevin White	Clinical Commercial	The American Journal of Surgical Pathology				8/1/2018	2017 Q3	2018 Q3	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1097/PAS.0000000000001074	29794873	Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Activating Structural Alterations in MAPK Genes Are Distinct Genetic Drivers in a Unique Subgroup Of Spitzoid Neoplasms	manuscript	TJ Taxter, Kevin White, Nike Beaubier			Pedram Gerami	Gerami - Northwestern	Kevin White	Clinical Commercial	The American Journal of Surgical Pathology				4/1/19		2019 Q2	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1097/PAS.0000000000001213	30640733	Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Distinct Genomic Patterns in Pigmented Epithelioid Melanocytoma: A Molecular and Histologic Analysis of 16 Cases	manuscript	TJ Taxter, Kevin White, Nike Beaubier			Pedram Gerami	Gerami - Northwestern	Kevin White	Clinical Commercial	The American Journal of Surgical Pathology				4/1/19		2019 Q2	Skin cancers	No CLQ data included	No LENS usage 	No IRB Required		10.1097/PAS.0000000000001195	30475255	Yes		
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Collaborator led (Tempus authorship)	Analysis of advanced quantitative computed tomography imaging features in predicting progression free survival of advanced epithelial ovarian cancer	abstract	Abhishek Pandey			Paul DiSilvestro	DiSilvestro - Brown	Martin Stumpe	Clinical/Pharma Commercial	Society of Gynecologic Oncology (SGO) 2020		2019 Q3  9/15/19		3/29/20		2020 Q1	 Ovarian cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Collaborator led (Tempus acknowledged or services used)	Predicting Chemosensitivity in Epithelial Ovarian Cancer Using Patient-Derived Tumor Organoids	abstract	Ameen Salahudeen			Jill M. Kolesar	Justin Gorski - University of Kentucky	Kevin White	R&D/Other	Society of Gynecologic Oncology (SGO) 2020		2019 Q3  9/15/19		3/29/20		2020 Q1	 Ovarian cancer	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Tempus led	Microsatellite instability detection with cell-free DNA next-generation sequencing	abstract	Ariane Lozac’hmeur			Aly Khan	N/A	Kevin White	Clinical/Pharma Commercial	SITC 2019	2019 Q3  8/1/19	2019 Q3		11/5/19		2019 Q4	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	Topic / Project-specific	Yes - IP protected in previously filed patent	Tempus led	Detection of human leukocyte antigen class I loss of heterozygosity in solid tumor types by next-generation DNA sequencing	abstract	Jason Perera			Aly Khan	N/A	Kevin White	Clinical/Pharma Commercial	SITC 2019	2019 Q3  8/1/19	2019 Q3		11/5/19		2019 Q4	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required				Yes		
Stage 7: Published	External Research: KOL Development	Unknown	Collaborator led (Tempus authorship)	Concordance and use patterns of tissue and cell-free based genomic testing in metastatic breast cancer	abstract	Jeff Schaeffer, Aneta Piwowarczyk	Kelly McKinnon	Jeff Schaeffer, Aneta Piwowarczyk, Kim Blackwell	Ben Ho Park - Vanderbilt	Ben Ho Park - Vanderbilt, Minetta Liu - Mayo Clinic	Kim Blackwell	Clinical Commercial	SABCS 2020	2020 Q3	2020 Q3		12/4/20		2020 Q4	 Breast cancer	No CLQ data included	LENS cohort selection & partial analysis	No IRB Required				Yes	abstract #1768; Spotlight Poster-Discussion Session presentation	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Unstable mutational profile and heterogeneity of residual breast tumors following neoadjuvant therapy from comprehensive genomic and transcriptomic sequencing	abstract	Josh SK Bell	pp: Kelly McKinnon	Josh SK Bell, Nike Beaubier, Benjamin Leibowitz	Olopade	Olopade -  UChicago	Kevin White, Nike Beaubier	Clinical Commercial	SABCS 2020	2020 Q3 7/7/20	2020 Q3 7/7/20		12/4/20		2020 Q4	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required				Yes	Collab-led project that I don't think had MA involved; Added for visibility; not in ERRC spreadsheet	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Comprehensive genomic and transcriptomic profiling of molecular subtypes reveal ancestral differences in the activity of signaling pathways between patients with African and European ancestry	abstract	Josh SK Bell	Kelly McKinnon	Josh SK Bell, Nike Beaubier, Benjamin Leibowitz	Olopade	Olopade -  UChicago	Kevin White, Nike Beaubier	Clinical/Pharma Commercial	SABCS 2020	2020 Q3 7/7/20	2020 Q3 7/7/20		12/4/20		2020 Q4	 Breast cancer	No CLQ data included	No LENS usage 	Covered under IRB Protocol - Waiver of consent & Exemption				Yes	Collab-led project that I don't think had MA involved; Added for visibility; not in ERRC spreadsheet	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Novel genomic variants and pathways associated with baseline serum thymidine kinase 1 levels in HR-positive HER2-negative MBC patients commencing palbociclib and letrozole	abstract				Matthew P Goetz	Goetz - Mayo Clinic	Kim Blackwell	Clinical Commercial	SABCS 2020	2020 Q3			12/4/20		2020 Q4	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Next generation sequencing (NGS) in older adults with breast cancer using tissue-based and circulating tumor DNA (ctDNA) assays	abstract				Cynthia Ma	Cynthia Ma - Washington University	Kim Blackwell	Clinical Commercial	SABCS 2020	2020 Q3			12/4/20		2020 Q4	 Breast cancer	No CLQ data included	No LENS usage 	No IRB Required				Not Applicable		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Multiplex qPCR discriminates variants of concern to enhance global surveillance of SARS-CoV-2	manuscript	Matthew Mackay	-		Nathan D. Grubaugh	Chantal Vogels - Yale	Joel Dudley	Clinical Commercial	PLOS Biology		2021 Q1		05/07/2021		2021 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1371/journal.pbio.3001236	33961632	Yes	Preprint here: https://www.medrxiv.org/content/10.1101/2021.01.28.21250486v2	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Integrating RNA expression and visual features for immune infiltrate prediction	manuscript	Denise Lau, Aly Khan			Aly Khan	Timothy Tan - Northwestern University	Kevin White	Pharma Commercial	Pacific Symposium on Biocomputing / 2019 Pacific Symposium on Biocomputing Conference 		2018 Q3  8/6/18		1/3/19		2019 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1142/9789813279827_0026	30864330	Yes	oral presentation at PSB conference 2019;  poster presentation at AACR Miami 2018	
Stage 7: Published	Foundational Capabilities	Yes - IP protected in previously filed patent	Tempus led	Clinical validation of the Tempus xO assay	manuscript	Nike Beaubier, Bob Tell			Kevin White	Marcin Cieslik, Robert Lonigro, Dan Robinson, Yi-Mi Wu, Xuhong Cao, Arul Chinnaiyan - University of Michigan	Nike Beaubier	Clinical/Pharma Commercial	Oncotarget		2017 Q3  8/2/17		5/25/18		2018 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.18632/oncotarget.25381	29899824	Yes		
Stage 7: Published	Foundational Capabilities	Yes - IP protected in previously filed patent	Tempus led	Clinical Validation of the Tempus xT Next-Generation Targeted Oncology Sequencing Assay 	manuscript	Nike Beaubier, Alex Bobe			Kevin White	N/A	Nike Beaubier	Clinical/Pharma Commercial	Oncotarget		2017 Q3 8/1/2017	2019 Q1  1/31/19	3/22/19		2019 Q1	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.18632/oncotarget.26797	31040929	Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus acknowledged or services used)	Mutations of the MAPK/TSC/mTOR pathway characterize periventricular glioblastoma with epithelioid SEGA-like morphology–morphological and therapeutic implications	manuscript	Mike Caldwell 			Gregory Fuller	MM Georgescu - LSU Shreveport		Clinical Commercial	Oncotarget				6/18/19		2019 Q3	Other	No CLQ data included	No LENS usage 	No IRB Required		10.18632/oncotarget.27005	31258848	Not Applicable	Acknowledge Jonathan Ball and Hannah Silverman	
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	Longitudinal and multi-tissue molecular diagnostics track somatic BRCA2 reversion mutations that correct the open reading frame of a germline alteration after clincal relapse (BRCA2 case study v2)	manuscript	Shelly Sorrells	Kelly McKinnon		Shelly Sorrells	Christopher Sumey - Sanford Cancer Center	Brett Mahon	Clinical Commercial	npj Genomic Medicine	2020 Q3	2020 Q3 9/9/20	2020 Q4 12/2/20	2/22/21		2021 Q1	 Breast cancer	No CLQ data included	No LENS usage 	Patient Consented		10.1038/s41525-021-00181-0	33619265	Yes		
Stage 7: Published	External Research: Other	Unknown	Collaborator led (Tempus authorship)	Non-Secretory Multiple Myeloma with Unusual TGF-ALK Fusion Shows Dramatic Response to ALK inhibition.	manuscript	Ameen Salahudeen	pp: Namratha Sastry	Ameen Salahudeen	Shahzad Raza	 Ashiq Masood - Rush University	Kevin White	Clinical/Pharma Commercial	npj Genomic Medicine	2020 Q4	2021 Q1		3/17/21		2021 Q1	 Multiple myeloma	No CLQ data included	No LENS usage 	No IRB Required		10.1038/s41525-021-00186-9	33731690	Yes	Collab-led project that I don't think had MA involved; Added for visibility; not in ERRC spreadsheet	
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Recurrent Glioblastoma Treated with Recombinant Poliovirus	manuscript	Nike Beaubier			Darrell D. Bigner	Darell D. Bigner - Duke	Nike Beaubier	Clinical Commercial	New England Journal of Medicine				7/12/18		2018 Q3	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1056/NEJMoa1716435	29943666	Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Deep neural networks can predict mortality from 12-lead electrocardiogram voltage data	manuscript	Arun Nemani, Tanner Carbonati, Ash Hafez, Kipp Johnson			Brandon K. Fornwalt	Brandon Fornwalt and Christ Haggerty - Geisinger Health	Martin Stumpe	Clinical Commercial	Nature Medicine		2020 Q1  2/10/20		5/11/20		2020 Q2	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1038/s41591-020-0870-z	32393799	Yes		
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Recommendations for reporting of secondary findings in clinical exome and genome sequencing, 2021 update: a policy statement of the American College of Medical Genetics and Genomics (ACMG)	manuscript	Christopher Vlangos		Christopher Vlangos	ACMG Secondary Findings Working Group	ACMG Secondary Findings Working Group, David T. Miller - Boston Children's Hospital	Joel Dudley	Clinical Commercial	Nature Genetics in Medicine				05/20/21		2021 Q2	Multiple cancer types	No CLQ data included	No LENS usage 	No IRB Required		10.1038/s41436-021-01171-4	34012069	No	From Google Scholar alert	
