Disclosure: Status 			Disclosure: What			Disclosure: Who							Disclosure: Where and When						Disclosure: Additional Info											
Publication Stage	Manuscript Pipeline	IP/Legal	Origin (internal vs. external)	Title/Topic/Link	Publication Type	Tempus Lead(s)	SciComm Lead / Point Person	Tempus Authors	PI / Corresponding Author	External Collaborator (PI and Institution)	Exec. Sponsor / Department Head	Key BU Stakeholder Publication Supports	Journal / Conference	Date of Target Submission (Yr, Quarter, Date)	Date Actual Submission Occurred (Yr, Quarter, Date)	Date of Most Recent Resubmission (Yr, Quarter)	Date of Publication (Date)	Year Quarter of Publication	Cancer Type	CLQ data usage	LENS Usage	IRB	IRB Protocol No.	DOI	PMID	Published Info Uploaded to Website	Notes	Abstract Disclosure Type	Main Org Work Derived From	Disease Area
Stage 7: Published	Foundational Capabilities		Tempus led	Deep multimodal fusion for the discovery of prognostic biomarkers integrating radiology, histology, and molecular information 	manuscript	 Jagadish Venkataraman	pp: Matthew Kase	Nathaniel Braman, Jacob Gordon, Emery Goossens, Caleb Willis, Martin Stumpe, and Jagadish Venkataraman	Jagadish Venkataraman	N/A	Martin Stumpe	R&D/Other	MICCAI 2021	2021 Q1 3/3/21	2021 Q1 3/3/21		9/21/21	2021 Q3	 Colorectal cancer	No CLQ data included	No LENS usage 	Covered under IRB Protocol - Exemption		https://doi.org/10.1007/978-3-030-87240-3_64	N/A	Yes		oral presentation	R&D	Oncology
Stage 7: Published	Topic / Project-specific		Tempus led	Ancestry inference from targeted NGS tests to enable precision medicine and improve minority representation in clinical trials	abstract	Francisco De La Vega, Brooke Rhead	pp: Alex Bobe	Francisco De La Vega, Brooke Rhead	Sean Irvine	Sean Irvine - Real time Genomics	Joel Dudley	R&D/Other	AGBT Precision Health	2021 Q3	2021 Q3 07/14/2021		9/8/21	2021 Q3	 Colorectal cancer	No CLQ data included	No LENS usage 	No IRB Required	N/A	N/A	N/A	Yes	Can't find actual publication but I uploaded the poster to the publication website	poster	R&D	Oncology
Stage 7: Published	Topic / Project-specific	N/A	Collaborator led (Tempus acknowledged or services used)	Multi-Platform Classification of IDH-Wild-Type Glioblastoma Based on ERK/MAPK Pathway: Diagnostic, Prognostic and Therapeutic Implications	manuscript	Alex Le	N/A	N/A	Maria-Magdalena Georgescu	Maria-Magdalena Georgescu - NeuroMarkers PLLC	Kim Blackwell	Clinical/Pharma Commercial	Cancers		2021 Q3 07/20/21		9/9/21	2021 Q3	Other	No CLQ data included	No LENS usage 	Covered under external collaborator's IRB		https://doi.org/10.3390/cancers13184532	N/A	Yes		N/A	Acknowlegement - Unknown	Oncology
Stage 7: Published	Topic / Project-specific		Collaborator led (Tempus authorship)	The Friends of Cancer Research Real World Data (RWD) Pilot 2.0 Collaboration: Implementation of Methodological Approaches for Evaluation of Oncology RWD	abstract	Ruth Pe Benito, Ken Carson	Alex Bobe	Ruth Pe Benito	Jeff Allen	Jeff Allen - Friends of Cancer Research	Kim Blackwell	Clinical/Pharma Commercial	ISPE Annual Meeting 2021	2021 Q1	2021 Q2 04/13/21		8/23/21	2021 Q3	 Non-small cell lung cancer	No CLQ data included	No LENS usage 	No IRB Required		https://doi.org/10.1002/pds.5305	N/A	Yes	Oral presentation	poster	Medical Science	Oncology
Stage 7: Published	Topic / Project-specific		Collaborator led (Tempus acknowledged or services used)	Utilizing Patient-Derived Epithelial Ovarian Cancer Tumor Organoids to Predict Carboplatin Resistance	manuscript	Ameen Salahudeen	N/A	N/A	Jill M. Kolesar 	Justin Gorski - University of Kentucky	Joel Dudley	R&D/Other	Biomedicines		6/9/21 2021 Q2		8/16/21	2021 Q3	 Ovarian cancer	No CLQ data included	No LENS usage 	Covered under external collaborator's IRB		https://doi.org/10.3390/biomedicines9081021	N/A	Yes		N/A	Acknowlegement - Unknown	Oncology
Stage 7: Published	Topic / Project-specific	N/A	Collaborator led (Tempus acknowledged or services used)	Germline ATM mutation and somatic PIK3CA and BCOR mutations found in an infant with aggressive orbital embryonal rhabdomyosarcoma	manuscript	Michael Caldwell	N/A	N/A	Manop Pithukpakorn	Manop Pithukpakorn - Mahidol Univeristy Bangkok	Kim Blackwell	Clinical Commercial	American Journal of Ophthalmology Case Reports		2020 Q4 10/26/20		8/4/21	2021 Q3	Other	No CLQ data included	No LENS usage 	Covered under external collaborator's IRB		https://doi.org/10.1016/j.ajoc.2021.101189	PMC8353380	Yes		N/A	Acknowlegement - Unknown	Oncology
Stage 7: Published	External Research: Grant Program	Unknown	Collaborator led (Tempus authorship)	Tumor Neoantigen Burden and Immune Environment in Driver-Alteration Positive Lung Adenocarcinoma.	abstract	Anna Schwarzbach	Namratha Sastry	Aly Khan, Benjamin Leibowitz	Janakiraman Subramanian	Janakiraman Subramanian - St. Luke's MO	Ania Schwarzbach	Clinical Commercial	Journal of Thoracic Oncology / WCLC IASLC 2020	2020 Q3	2020 Q3		1/28/21	2021 Q1	Lung cancer	No CLQ data included	No LENS usage 	No IRB Required		https://doi.org/10.1016/j.jtho.2021.01.969	N/A	Yes	Accepted for poster presentation. Follow up article based on the abstract: https://bionexuskc.org/saint-lukes-director-says-the-answer-to-the-immune-systems-role-in-fighting-cancer-is-hidden-in-plain-sight/	poster	Medical Affairs	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Tempus led	RNA Sequencing of the Tumor Microenvironment in Precision Cancer Immunotherapy	manuscript	 Aly Khan	N/A	Denise Lau, Alexandria M. Bobe, Aly A. Khan 	Aly Khan	N/A	Kevin White	Clinical/Pharma Commercial	Trends in Cancer		2018 Q4 12/13/18	2019 Q1	3/7/19	2019 Q1	N/A	No CLQ data included	No LENS usage 	No IRB Required		10.1016/j.trecan.2019.02.006	30898262	Yes		N/A	R&D	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Genomic Fusions in Pigmented Spindle Cell Nevus of the Reed	manuscript	TJ Taxter, Kevin White, Catherine Igartua, Nike Beaubier	N/A	Catherine Igartua, Timothy Taxter, Nike Beaubier, Kevin White,	Pedram Gerami	Gerami - Northwestern	Kevin White	Clinical Commercial	The American Journal of Surgical Pathology		N/A		8/1/2018	2018 Q3	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1097/PAS.0000000000001074	29794873	Yes		N/A	Medical Science	Oncology
Stage 7: Published	Topic / Project-specific	Unknown	Collaborator led (Tempus authorship)	Activating Structural Alterations in MAPK Genes Are Distinct Genetic Drivers in a Unique Subgroup Of Spitzoid Neoplasms	manuscript	TJ Taxter, Kevin White, Nike Beaubier	N/A	Timothy Taxter, Nike Beaubier, Kevin White	Pedram Gerami	Gerami - Northwestern	Kevin White	Clinical Commercial	The American Journal of Surgical Pathology		N/A		4/1/19	2019 Q2	Other	No CLQ data included	No LENS usage 	No IRB Required		10.1097/PAS.0000000000001213	30640733	Yes		N/A	Medical Science	Oncology
