PMID	Title	DOI	Journal	Year	Volume	Issue	Total_author_count	Affiliated_author_count	Affiliated_author_names	Affilated_author_affiliations	Is_valid_hit	Affiliated_author_affiliations
35604410	Multi-institutional study of the frequency, genomic landscape and outcome of IDH-mutant glioma in paediatrics.	10.1093/neuonc/noac132	Neuro-oncology	2022			32.0	1.0	Kaneva_Kristiyana			tempus labs, inc.
35263765	Researching Compassionate Communities from an interdisciplinary perspective: the case of the Compassionate Communities Centre of Expertise (COCO).	10.1093/geront/gnac034	The Gerontologist	2022			15.0	2.0	Van_Droogenbroeck_Filip; Spruyt_Bram			tempus omnia revelat, vrije universiteit brussel (vub), brussels, belgium.; tempus omnia revelat, vrije universiteit brussel (vub), brussels, belgium.
35171659	Real-World Experience of <i>NTRK</i> Fusion-Positive Thyroid Cancer.	10.1200/PO.21.00442	JCO precision oncology	2022	6.0		4.0	1.0	Ashok_Arya			medical affairs, tempus, phoenix, az.
35134211	Racial and Ethnic Differences in Genomic Profiling of Early Onset Colorectal Cancer.	10.1093/jnci/djac014	Journal of the National Cancer Institute	2022	114.0	5	11.0	2.0	Rhead_Brooke; De_La_Vega_Francisco_M			tempus labs, inc, chicago, il, usa.; tempus labs, inc, chicago, il, usa.
34998516	Continuous action deep reinforcement learning for propofol dosing during general anesthesia.	10.1016/j.artmed.2021.102227	Artificial intelligence in medicine	2022	123.0		5.0	1.0	Badgeley_Marcus			tempus, chicago, il 60654, usa.
34979999	Landscape of homologous recombination deficiencies in solid tumours: analyses of two independent genomic datasets.	10.1186/s12885-021-09082-y	BMC cancer	2022	22.0	1	8.0	1.0	Dry_Jonathan_R			present address: tempus labs inc., boston, ma, usa.
34801336	"Corrigendum to ""Identification of Differential Tumor Subtypes of T1 Bladder Cancer"" [Eur. Urol. 78 (2020) 533-537]."	10.1016/j.eururo.2021.11.001	European urology	2022	81.0	2	17.0	1.0	Taxter_Timothy_J			tempus labs, inc., chicago, il, usa.
34663898	Predicting cancer outcomes with radiomics and artificial intelligence in radiology.	10.1038/s41571-021-00560-7	Nature reviews. Clinical oncology	2022	19.0	2	5.0	1.0	Braman_Nathaniel			tempus labs, chicago, il, usa.
34714709	Exercise is Medicine: Implementing a New Initiative to Increase Patients' Activity and Functional Mobility in Pediatric Stem-Cell Transplant Unit.	10.1200/OP.21.00199	JCO oncology practice	2022	18.0	3	6.0	1.0	Munger_Jessica			tempus labs biotechnology, chicago, il.
34664259	The Friends of Cancer Research Real-World Data Collaboration Pilot 2.0: Methodological Recommendations from Oncology Case Studies.	10.1002/cpt.2453	Clinical pharmacology and therapeutics	2022	111.0	1	27.0	2.0	Honnold_Rebecca; Pe_Benito_Ruth			tempus, chicago, illinois, usa.; tempus, chicago, illinois, usa.
35233056	Crizotinib in patients with tumors harboring ALK or ROS1 rearrangements in the NCI-MATCH trial.	10.1038/s41698-022-00256-w	NPJ precision oncology	2022	6.0	1	29.0	1.0	Malik_N			tempus, chicago, il, usa.
34794190	Systematic Review and Meta-Analysis of L-Methylfolate Augmentation in Depressive Disorders.	10.1055/a-1681-2047	Pharmacopsychiatry	2022	55.0	3	5.0	1.0	Brown_Lisa_C			tempus labs, chicago, il, usa.
35620075	Protocol for drug screening of patient-derived tumor organoids using high-content fluorescent imaging.	10.1016/j.xpro.2022.101407	STAR protocols	2022	3	2	4.0	4.0	Larsen_Brian_M; Cancino_Andrea; Shaxted_Jenna_M; Salahudeen_Ameen_A			tempus labs, inc, chicago, il 60654, usa.; tempus labs, inc, chicago, il 60654, usa.; tempus labs, inc, chicago, il 60654, usa.; tempus labs, inc, chicago, il 60654, usa.
35274707	Homologous Recombination Deficiency: Concepts, Definitions, and Assays.	10.1093/oncolo/oyab053	The oncologist	2022	27.0	3	25.0	2.0	Beaubier_Nike; Parsons_Jerod			tempus labs, inc., chicago, il, usa.; tempus labs, inc., chicago, il, usa.
35339649	Phase 2 single arm study of nivolumab and ipilimumab (Nivo/Ipi) in previously treated classical Kaposi Sarcoma (cKS).	10.1016/j.annonc.2022.03.012	Annals of oncology : official journal of the European Society for Medical Oncology	2022			19.0	1.0	Schwarzbach_A_E			tempus labs, chicago, il, usa.
35319967	Landscape of <i>KRAS</i><sup>G12C</sup>, Associated Genomic Alterations, and Interrelation With Immuno-Oncology Biomarkers in <i>KRAS</i>-Mutated Cancers.	10.1200/PO.21.00245	JCO precision oncology	2022	6.0		15.0	3.0	El-Refai_Sherif_M; O'Neil_Bert; Barrett_Alexander_S			tempus labs inc, chicago, il.; tempus labs inc, chicago, il.; tempus labs inc, chicago, il.
35416393	Exploring United States genetic counselor and healthcare interpreter perspectives: Allocation of roles within the genetic counseling encounter.	10.1002/jgc4.1572	Journal of genetic counseling	2022			6.0	1.0	Stoll_Jessica			tempus labs, chicago, illinois, usa.
35474001	Author Correction: Expanded encyclopaedias of DNA elements in the human and mouse genomes.	10.1038/s41586-021-04226-3	Nature	2022	605.0	7909	63.0	1.0	White_Kevin_P			tempus labs, chicago, il, usa.
