PMID	Title	DOI	Journal	Year	Volume	Issue	Total_author_count	Affiliated_author_count	Affiliated_author_names
35474001	Author Correction: Expanded encyclopaedias of DNA elements in the human and mouse genomes.	10.1038/s41586-021-04226-3	Nature	2022			63	1	White_Kevin_P
35134211	Racial and Ethnic Differences in Genomic Profiling of Early-Onset Colorectal Cancer.	10.1093/jnci/djac014	Journal of the National Cancer Institute	2022			11	2	Rhead_Brooke; De_La_Vega_Francisco_M
34663898	Predicting cancer outcomes with radiomics and artificial intelligence in radiology.	10.1038/s41571-021-00560-7	Nature reviews. Clinical oncology	2022	19	2	5	1	Braman_Nathaniel
34664259	The Friends of Cancer Research Real-World Data Collaboration Pilot 2.0: Methodological Recommendations from Oncology Case Studies.	10.1002/cpt.2453	Clinical pharmacology and therapeutics	2022	111	1	27	2	Honnold_Rebecca; Pe_Benito_Ruth
34801336	"Corrigendum to ""Identification of Differential Tumor Subtypes of T1 Bladder Cancer"" [Eur. Urol. 78 (2020) 533-537]."	10.1016/j.eururo.2021.11.001	European urology	2022	81	2	17	1	Taxter_Timothy_J
35416393	Exploring United States genetic counselor and healthcare interpreter perspectives: Allocation of roles within the genetic counseling encounter.	10.1002/jgc4.1572	Journal of genetic counseling	2022			6	1	Stoll_Jessica
34998516	Continuous action deep reinforcement learning for propofol dosing during general anesthesia.	10.1016/j.artmed.2021.102227	Artificial intelligence in medicine	2022	123		5	1	Badgeley_Marcus
34714709	Exercise is Medicine: Implementing a New Initiative to Increase Patients' Activity and Functional Mobility in Pediatric Stem-Cell Transplant Unit.	10.1200/OP.21.00199	JCO oncology practice	2022	18	3	6	1	Munger_Jessica
35171659	Real-World Experience of <i>NTRK</i> Fusion-Positive Thyroid Cancer.	10.1200/PO.21.00442	JCO precision oncology	2022	6		4	1	Ashok_Arya
35274707	Homologous Recombination Deficiency: Concepts, Definitions, and Assays.	10.1093/oncolo/oyab053	The oncologist	2022	27	3	25	2	Beaubier_Nike; Parsons_Jerod
35319967	Landscape of <i>KRAS</i><sup>G12C</sup>, Associated Genomic Alterations, and Interrelation With Immuno-Oncology Biomarkers in <i>KRAS</i>-Mutated Cancers.	10.1200/PO.21.00245	JCO precision oncology	2022	6		15	3	El-Refai_Sherif_M; O'Neil_Bert; Barrett_Alexander_S
35339649	Phase 2 single arm study of nivolumab and ipilimumab (Nivo/Ipi) in previously treated classical Kaposi Sarcoma (cKS).	10.1016/j.annonc.2022.03.012	Annals of oncology : official journal of the European Society for Medical Oncology	2022			19	1	Schwarzbach_A_E
35388408	Privacy preserving validation for multiomic prediction models.	10.1093/bib/bbac110	Briefings in bioinformatics	2022			9	9	Ahmed_Talal; Carty_Mark_A; Wenric_Stephane; Dry_Jonathan_R; Salahudeen_Ameen_A; Khan_Aly_A; Lefkofsky_Eric; Stumpe_Martin_C; Pelossof_Raphael
35233056	Crizotinib in patients with tumors harboring ALK or ROS1 rearrangements in the NCI-MATCH trial.	10.1038/s41698-022-00256-w	NPJ precision oncology	2022	6	1	29	1	Malik_N
33619265	Longitudinal and multi-tissue molecular diagnostics track somatic BRCA2 reversion mutations that correct the open reading frame of germline alteration upon clinical relapse.	10.1038/s41525-021-00181-0	NPJ genomic medicine	2021	6	1	4	3	Sorrells_Shelly; McKinnon_Kelly_E; McBratney_Ashleigh
33758901	PCR assay to enhance global surveillance for SARS-CoV-2 variants of concern.	10.1101/2021.01.28.21250486	medRxiv : the preprint server for health sciences	2021			36	6	Mason_Christopher_E; Khullar_Gaurav; Metti_Jessica; Dudley_Joel_T; MacKay_Matthew_J; Nash_Megan
33731690	Non-secretory multiple myeloma with unusual TFG-ALK fusion showed dramatic response to ALK inhibition.	10.1038/s41525-021-00186-9	NPJ genomic medicine	2021	6	1	14	1	Salahudeen_Ameen
33652561	Preclinical Evaluation of Artesunate as an Antineoplastic Agent in Ovarian Cancer Treatment.	10.3390/diagnostics11030395	Diagnostics (Basel, Switzerland)	2021	11	3	8	2	Zhang_Yilin; Salahudeen_Ameen_A
33637709	Chromatin information content landscapes inform transcription factor and DNA interactions.	10.1038/s41467-021-21534-4	Nature communications	2021	12	1	7	1	Kyono_Yasuhiro
33637494	Successful use of immunotherapy to treat advanced cutaneous squamous cell carcinoma in recessive dystrophic epidermolysis bullosa.	10.1136/bcr-2020-238966	BMJ case reports	2021	14	2	4	1	Barrett_Alexander
33625877	OncoTree: A Cancer Classification System for Precision Oncology.	10.1200/CCI.20.00108	JCO clinical cancer informatics	2021	5		66	1	Sanchez_Iker_Huerga
33619384	The NCI Genomic Data Commons.	10.1038/s41588-021-00791-5	Nature genetics	2021	53	3	91	1	Pedrosa_Jesús
33446413	Real-world Evidence of Diagnostic Testing and Treatment Patterns in US Patients With Breast Cancer With Implications for Treatment Biomarkers From RNA Sequencing Data.	10.1016/j.clbc.2020.11.012	Clinical breast cancer	2021	21	4	20	17	Fernandes_Louis_E; Epstein_Caroline_G; Bobe_Alexandria_M; Bell_Joshua_S_K; Stumpe_Martin_C; Salazar_Michael_E; Salahudeen_Ameen_A; Pe_Benito_Ruth_A; McCarter_Calvin; Leibowitz_Benjamin_D; Kase_Matthew; Igartua_Catherine; Huether_Robert; Hafez_Ashraf; Beaubier_Nike; Axelson_Michael_D; Palmer_Gary_A
33594373	Early introductions and community transmission of SARS-CoV-2 variant B.1.1.7 in the United States.	10.1101/2021.02.10.21251540	medRxiv : the preprint server for health sciences	2021			50	7	MacKay_Matthew_J; Khullar_Gaurav; Metti_Jessica; Dudley_Joel_T; Nash_Megan; Beaubier_Nike; Mason_Christopher_E
33588584	Deep Neural Networks Can Predict New-Onset Atrial Fibrillation From the 12-Lead ECG and Help Identify Those at Risk of Atrial Fibrillation-Related Stroke.	10.1161/CIRCULATIONAHA.120.047829	Circulation	2021	143	13	22	5	Nemani_Arun; Carbonati_Tanner; Johnson_Kipp_W; Zimmerman_Noah; Hafez_Ashraf
33441554	Very low mutation burden is a feature of inflamed recurrent glioblastomas responsive to cancer immunotherapy.	10.1038/s41467-020-20469-6	Nature communications	2021	12	1	28	1	Beaubier_Nike
33891875	Early introductions and transmission of SARS-CoV-2 variant B.1.1.7 in the United States.	10.1016/j.cell.2021.03.061	Cell	2021	184	10	50	7	MacKay_Matthew_J; Khullar_Gaurav; Metti_Jessica; Dudley_Joel_T; Nash_Megan; Beaubier_Nike; Mason_Christopher_E
33337916	Contemporary Clinical Trials Office: Doing More With Less.	10.1200/OP.20.00871	JCO oncology practice	2021	17	1	2	1	Carson_Kenneth_R
33300245	Specifications of the ACMG/AMP variant interpretation guidelines for germline TP53 variants.	10.1002/humu.24152	Human mutation	2021	42	3	23	1	Huether_Robert
32972830	First-in-Human Phase 1b Trial of Quinacrine Plus Capecitabine in Patients With Refractory Metastatic Colorectal Cancer.	10.1016/j.clcc.2020.08.003	Clinical colorectal cancer	2021	20	1	19	1	White_Kevin
33875798	Interpretable survival prediction for colorectal cancer using deep learning.	10.1038/s41746-021-00427-2	NPJ digital medicine	2021	4	1	23	1	Stumpe_Martin_C
34007079	Author Correction: The NCI Genomic Data Commons.	10.1038/s41588-021-00883-2	Nature genetics	2021	53	6	91	1	Pedrosa_Jesús
